자치구	발생	검거	검거율
자치구	발생	검거	검거율
자치구	발생	검거	검거율
강남구	6146	4397	71.54
강동구	3458	2462	71.19
강북구	2301	1912	83.09
강서구	3896	3044	78.13
관악구	4444	3134	70.52
광진구	3087	2202	71.33
구로구	3486	2431	69.73
금천구	2439	1741	71.38
노원구	3425	2302	67.21
도봉구	1860	1294	69.56
동대문구	2959	2113	71.4
동작구	2631	1829	69.51
마포구	3540	2379	67.2
서대문구	2278	1594	69.97
서초구	3656	2439	66.71
성동구	2112	1510	71.49
성북구	2411	1787	74.11
송파구	4714	3266	69.28
양천구	3015	2085	69.15
영등포구	4179	2777	66.45
용산구	2381	1659	69.67
은평구	3244	2423	74.69
종로구	2712	2755	100
중구	2861	2072	72.42
중랑구	3210	2405	74.92

